routeId,fromLocationId,toLocationId,distanceM,avgTimeMin,trafficFactor
1,1,20,200,3,1.0
2,20,1,200,3,1.0
3,1,19,350,5,1.0
4,19,1,350,5,1.0
5,2,3,150,2,1.0
6,3,2,150,2,1.0
7,2,4,200,3,1.0
8,4,2,200,3,1.0
9,2,19,250,4,1.0
10,19,2,250,4,1.0
11,3,19,200,3,1.0
12,19,3,200,3,1.0
13,4,21,180,3,1.0
14,21,4,180,3,1.0
15,4,35,400,6,1.2
16,35,4,400,6,1.2
17,5,45,300,4,1.3
18,45,5,300,4,1.3
19,5,6,350,5,1.0
20,6,5,350,5,1.0
21,5,43,400,6,1.0
22,43,5,400,6,1.0
23,7,8,150,2,1.0
24,8,7,150,2,1.0
25,8,9,120,2,1.0
26,9,8,120,2,1.0
27,9,10,100,2,1.0
28,10,9,100,2,1.0
29,7,50,200,3,1.0
30,50,7,200,3,1.0
31,11,14,250,4,1.0
32,14,11,250,4,1.0
33,11,49,150,2,1.0
34,49,11,150,2,1.0
35,12,13,100,2,1.0
36,13,12,100,2,1.0
37,12,14,200,3,1.0
38,14,12,200,3,1.0
39,15,16,80,1,1.0
40,16,15,80,1,1.0
41,15,22,300,5,1.1
42,22,15,300,5,1.1
43,17,18,120,2,1.0
44,18,17,120,2,1.0
45,19,21,200,3,1.0
46,21,19,200,3,1.0
47,19,23,150,2,1.0
48,23,19,150,2,1.0
49,20,40,300,4,1.1
50,40,20,300,4,1.1
51,21,23,100,2,1.0
52,23,21,100,2,1.0
53,21,34,250,4,1.0
54,34,21,250,4,1.0
55,22,35,200,3,1.1
56,35,22,200,3,1.1
57,24,25,120,2,1.0
58,25,24,120,2,1.0
59,25,26,100,2,1.0
60,26,25,100,2,1.0
61,26,27,80,1,1.0
62,27,26,80,1,1.0
63,27,28,100,2,1.0
64,28,27,100,2,1.0
65,28,29,90,1,1.0
66,29,28,90,1,1.0
67,29,30,80,1,1.0
68,30,29,80,1,1.0
69,24,51,100,2,1.0
70,51,24,100,2,1.0
71,31,27,250,4,1.0
72,27,31,250,4,1.0
73,31,33,400,6,1.0
74,33,31,400,6,1.0
75,32,28,150,2,1.0
76,28,32,150,2,1.0
77,33,58,200,3,1.0
78,58,33,200,3,1.0
79,34,39,180,3,1.0
80,39,34,180,3,1.0
81,35,52,200,3,1.1
82,52,35,200,3,1.1
83,36,37,150,2,1.0
84,37,36,150,2,1.0
85,37,38,120,2,1.0
86,38,37,120,2,1.0
87,38,39,100,2,1.0
88,39,38,100,2,1.0
89,40,41,100,2,1.0
90,41,40,100,2,1.0
91,40,54,200,3,1.0
92,54,40,200,3,1.0
93,42,40,250,4,1.0
94,40,42,250,4,1.0
95,43,44,150,2,1.0
96,44,43,150,2,1.0
97,45,47,500,7,1.5
98,47,45,500,7,1.5
99,46,52,100,2,1.0
100,52,46,100,2,1.0
101,46,19,200,3,1.0
102,19,46,200,3,1.0
103,47,48,600,8,1.4
104,48,47,600,8,1.4
105,49,50,400,6,1.2
106,50,49,400,6,1.2
107,51,52,200,3,1.0
108,52,51,200,3,1.0
109,53,52,50,1,1.0
110,52,53,50,1,1.0
